Year,Country,TopicTag,YesVotes_Topic,NoVotes_Topic,AbstainVotes_Topic,TotalVotes_Topic
1946,GRC,HUMAN RIGHTS,3,1,0,4
1946,GRC,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,GRC,INTERNATIONAL LAW,1,0,0,1
1946,GRC,INTERNATIONAL RELATIONS,6,0,1,7
1946,GRC,POLITICAL AND LEGAL QUESTIONS,17,1,3,21
1946,GRC,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,GRC,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,GRC,SOCIAL CONDITIONS AND EQUITY,3,1,1,5
1946,GRC,SOCIAL DEVELOPMENT,2,0,1,3
1946,GTM,DISCRIMINATION,1,0,0,1
1946,GTM,GENERAL AND NATIONAL LAW,1,0,0,1
1946,GTM,HUMAN RIGHTS,3,0,0,3
1946,GTM,HUMANITARIAN AID AND RELIEF,3,0,0,3
1946,GTM,INTERNATIONAL LAW,1,0,0,1
1946,GTM,INTERNATIONAL RELATIONS,5,1,0,6
1946,GTM,POLITICAL AND LEGAL QUESTIONS,16,1,1,18
1946,GTM,POLITICAL EVENTS AND ISSUES,0,1,0,1
1946,GTM,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,3,0,0,3
1946,GTM,SOCIAL CONDITIONS AND EQUITY,4,0,0,4
1946,GTM,SOCIAL DEVELOPMENT,3,0,0,3
1946,HND,DISCRIMINATION,2,0,0,2
1946,HND,GENERAL AND NATIONAL LAW,1,0,0,1
1946,HND,HUMAN RIGHTS,4,0,0,4
1946,HND,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,HND,INTERNATIONAL LAW,1,0,0,1
1946,HND,INTERNATIONAL RELATIONS,5,0,1,6
1946,HND,POLITICAL AND LEGAL QUESTIONS,19,0,1,20
1946,HND,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,HND,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,HND,SOCIAL CONDITIONS AND EQUITY,4,1,0,5
1946,HND,SOCIAL DEVELOPMENT,2,1,0,3
1946,HTI,DISCRIMINATION,1,0,0,1
1946,HTI,GENERAL AND NATIONAL LAW,1,0,0,1
1946,HTI,HUMAN RIGHTS,1,0,2,3
1946,HTI,HUMANITARIAN AID AND RELIEF,0,0,3,3
1946,HTI,INTERNATIONAL LAW,0,0,1,1
1946,HTI,INTERNATIONAL RELATIONS,4,0,2,6
1946,HTI,POLITICAL AND LEGAL QUESTIONS,6,0,2,8
1946,HTI,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,HTI,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,0,0,3,3
1946,HTI,SOCIAL CONDITIONS AND EQUITY,2,0,2,4
1946,HTI,SOCIAL DEVELOPMENT,1,0,2,3
1946,IND,DISCRIMINATION,2,0,0,2
1946,IND,GENERAL AND NATIONAL LAW,1,1,0,2
1946,IND,HUMAN RIGHTS,2,0,2,4
1946,IND,HUMANITARIAN AID AND RELIEF,1,0,3,4
1946,IND,INTERNATIONAL LAW,0,0,1,1
1946,IND,INTERNATIONAL RELATIONS,4,0,3,7
1946,IND,POLITICAL AND LEGAL QUESTIONS,10,1,11,22
1946,IND,POLITICAL EVENTS AND ISSUES,0,0,1,1
1946,IND,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,IND,SOCIAL CONDITIONS AND EQUITY,3,0,2,5
1946,IND,SOCIAL DEVELOPMENT,1,0,2,3
1946,IRN,DISCRIMINATION,2,0,0,2
1946,IRN,GENERAL AND NATIONAL LAW,1,0,0,1
1946,IRN,HUMAN RIGHTS,4,0,0,4
1946,IRN,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,IRN,INTERNATIONAL LAW,1,0,0,1
1946,IRN,INTERNATIONAL RELATIONS,5,0,2,7
1946,IRN,POLITICAL AND LEGAL QUESTIONS,18,0,3,21
1946,IRN,POLITICAL EVENTS AND ISSUES,0,0,1,1
1946,IRN,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,IRN,SOCIAL CONDITIONS AND EQUITY,4,0,1,5
1946,IRN,SOCIAL DEVELOPMENT,2,0,1,3
1946,IRQ,DISCRIMINATION,2,0,0,2
1946,IRQ,GENERAL AND NATIONAL LAW,2,0,0,2
1946,IRQ,HUMAN RIGHTS,2,0,2,4
1946,IRQ,HUMANITARIAN AID AND RELIEF,1,0,3,4
1946,IRQ,INTERNATIONAL LAW,0,0,1,1
1946,IRQ,INTERNATIONAL RELATIONS,2,2,2,6
1946,IRQ,POLITICAL AND LEGAL QUESTIONS,17,2,2,21
1946,IRQ,POLITICAL EVENTS AND ISSUES,0,1,0,1
1946,IRQ,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,IRQ,SOCIAL CONDITIONS AND EQUITY,2,1,2,5
1946,IRQ,SOCIAL DEVELOPMENT,0,1,2,3
1946,ISL,DISCRIMINATION,1,0,0,1
1946,ISL,HUMAN RIGHTS,3,0,0,3
1946,ISL,HUMANITARIAN AID AND RELIEF,3,0,0,3
1946,ISL,INTERNATIONAL LAW,1,0,0,1
1946,ISL,INTERNATIONAL RELATIONS,4,0,1,5
1946,ISL,POLITICAL AND LEGAL QUESTIONS,14,0,2,16
1946,ISL,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,ISL,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,3,0,0,3
1946,ISL,SOCIAL CONDITIONS AND EQUITY,4,0,0,4
1946,ISL,SOCIAL DEVELOPMENT,3,0,0,3
1946,LBN,DISCRIMINATION,2,0,0,2
1946,LBN,GENERAL AND NATIONAL LAW,2,0,0,2
1946,LBN,HUMAN RIGHTS,4,0,0,4
